Date,ADNT,BG
2019-12-31,21.25,57.54999923706055
2020-01-02,22.100000381469727,57.560001373291016
2020-01-03,20.68000030517578,57.939998626708984
2020-01-06,20.780000686645508,57.52000045776367
2020-01-07,21.190000534057617,57.040000915527344
2020-01-08,20.93000030517578,56.38999938964844
2020-01-09,20.6200008392334,55.97999954223633
2020-01-10,20.469999313354492,55.65999984741211
2020-01-13,20.860000610351562,55.779998779296875
2020-01-14,21.270000457763672,55.599998474121094
2020-01-15,21.389999389648438,55.380001068115234
2020-01-16,21.93000030517578,56.31999969482422
2020-01-17,21.84000015258789,56.060001373291016
2020-01-21,20.799999237060547,56.40999984741211
2020-01-22,21.59000015258789,55.880001068115234
2020-01-23,21.260000228881836,55.599998474121094
2020-01-24,20.270000457763672,54.31999969482422
2020-01-27,19.329999923706055,51.84000015258789
2020-01-28,18.950000762939453,51.61000061035156
2020-01-29,19.59000015258789,51.04999923706055
2020-01-30,19.31999969482422,52.470001220703125
2020-01-31,25.709999084472656,52.43000030517578
2020-02-03,26.190000534057617,52.9900016784668
2020-02-04,27.1299991607666,52.97999954223633
2020-02-05,28.020000457763672,54.36000061035156
2020-02-06,27.93000030517578,53.63999938964844
2020-02-07,26.920000076293945,54.08000183105469
2020-02-10,27.1200008392334,54.66999816894531
2020-02-11,27.229999542236328,55.0
2020-02-12,28.420000076293945,55.02000045776367
2020-02-13,27.829999923706055,55.77000045776367
2020-02-14,27.649999618530273,54.220001220703125
2020-02-18,27.860000610351562,53.599998474121094
2020-02-19,27.729999542236328,53.7599983215332
2020-02-20,28.239999771118164,53.97999954223633
2020-02-21,26.969999313354492,53.22999954223633
2020-02-24,25.549999237060547,53.02000045776367
2020-02-25,25.290000915527344,51.02000045776367
2020-02-26,25.270000457763672,50.529998779296875
2020-02-27,24.0,47.849998474121094
2020-02-28,23.93000030517578,46.95000076293945
2020-03-02,23.530000686645508,49.029998779296875
2020-03-03,21.809999465942383,48.560001373291016
2020-03-04,21.920000076293945,49.709999084472656
2020-03-05,19.950000762939453,48.41999816894531
2020-03-06,20.15999984741211,46.849998474121094
2020-03-09,17.010000228881836,43.58000183105469
2020-03-10,17.110000610351562,43.34000015258789
2020-03-11,16.450000762939453,39.900001525878906
2020-03-12,13.239999771118164,36.150001525878906
2020-03-13,13.949999809265137,38.560001373291016
2020-03-16,9.539999961853027,33.63999938964844
2020-03-17,8.5,35.290000915527344
2020-03-18,6.53000020980835,30.25
2020-03-19,8.5,32.7400016784668
2020-03-20,8.609999656677246,31.780000686645508
2020-03-23,9.520000457763672,32.7400016784668
2020-03-24,11.569999694824219,35.0
2020-03-25,11.449999809265137,36.630001068115234
2020-03-26,11.619999885559082,37.63999938964844
2020-03-27,9.170000076293945,36.189998626708984
2020-03-30,9.350000381469727,39.59000015258789
2020-03-31,9.069999694824219,41.029998779296875
2020-04-01,7.559999942779541,38.369998931884766
2020-04-02,7.650000095367432,39.08000183105469
2020-04-03,7.349999904632568,37.16999816894531
2020-04-06,9.350000381469727,38.27000045776367
2020-04-07,9.3100004196167,38.02000045776367
2020-04-08,10.84000015258789,39.439998626708984
2020-04-09,12.489999771118164,40.83000183105469
2020-04-13,11.260000228881836,38.95000076293945
2020-04-14,11.170000076293945,39.459999084472656
2020-04-15,10.510000228881836,36.91999816894531
2020-04-16,10.329999923706055,38.11000061035156
2020-04-17,11.1899995803833,40.09000015258789
2020-04-20,10.75,38.880001068115234
2020-04-21,11.5600004196167,36.130001068115234
2020-04-22,11.260000228881836,37.79999923706055
2020-04-23,12.15999984741211,39.130001068115234
2020-04-24,12.359999656677246,39.61000061035156
2020-04-27,13.020000457763672,39.689998626708984
2020-04-28,13.970000267028809,40.41999816894531
2020-04-29,15.8100004196167,41.650001525878906
2020-04-30,14.979999542236328,39.66999816894531
2020-05-01,14.350000381469727,37.88999938964844
2020-05-04,14.8100004196167,37.689998626708984
2020-05-05,15.229999542236328,37.939998626708984
2020-05-06,15.170000076293945,34.20000076293945
2020-05-07,15.479999542236328,36.369998931884766
2020-05-08,17.75,36.529998779296875
2020-05-11,17.239999771118164,34.66999816894531
2020-05-12,16.700000762939453,34.630001068115234
2020-05-13,15.470000267028809,34.349998474121094
2020-05-14,15.529999732971191,34.77000045776367
2020-05-15,15.890000343322754,34.33000183105469
2020-05-18,17.0,35.43000030517578
2020-05-19,16.31999969482422,35.13999938964844
2020-05-20,16.68000030517578,35.59000015258789
2020-05-21,16.809999465942383,35.529998779296875
2020-05-22,16.84000015258789,35.380001068115234
2020-05-26,17.530000686645508,37.720001220703125
2020-05-27,18.18000030517578,39.36000061035156
2020-05-28,17.110000610351562,38.869998931884766
2020-05-29,17.010000228881836,39.02000045776367
2020-06-01,17.670000076293945,39.220001220703125
2020-06-02,18.719999313354492,39.869998931884766
2020-06-03,19.690000534057617,41.38999938964844
2020-06-04,19.68000030517578,41.29999923706055
2020-06-05,21.389999389648438,42.470001220703125
2020-06-08,22.280000686645508,43.810001373291016
2020-06-09,20.899999618530273,42.90999984741211
2020-06-10,19.84000015258789,40.41999816894531
2020-06-11,16.809999465942383,38.880001068115234
2020-06-12,18.149999618530273,39.38999938964844
2020-06-15,18.350000381469727,39.81999969482422
2020-06-16,18.059999465942383,41.08000183105469
2020-06-17,17.079999923706055,40.40999984741211
2020-06-18,16.84000015258789,41.209999084472656
2020-06-19,17.190000534057617,40.630001068115234
2020-06-22,16.90999984741211,40.38999938964844
2020-06-23,17.06999969482422,41.08000183105469
2020-06-24,15.760000228881836,41.189998626708984
2020-06-25,15.920000076293945,42.52000045776367
