,ExponentialMovingAverage,WeightedMovingAverage,StochasticSlow,MACDHisto,RSI,SmoothedMovingAverage,ATR,time,value
0,,,,,,,,1999-11-01,10000000.0
1,,,,,,,,1999-11-02,10000000.0
2,,,,,,,,1999-11-03,10000000.0
3,,,,,,,,1999-11-04,10000000.0
4,,,,,,,,1999-11-05,10000000.0
5,,,,,,,,1999-11-08,10000000.0
6,,,,,,,,1999-11-09,10000000.0
7,,,,,,,,1999-11-10,10000000.0
8,,,,,,,,1999-11-11,10000000.0
9,,,,,,,,1999-11-12,10000000.0
10,,,,,,,,1999-11-15,10000000.0
11,,,,,,,,1999-11-16,10000000.0
12,,,,,,,,1999-11-17,10000000.0
13,,,,,,,,1999-11-18,10000000.0
14,,,,,36.70886075949363,,0.2685714285714281,1999-11-19,10000000.0
15,,,20.356234096692106,,38.388625592417036,,0.26295918367346904,1999-11-22,10000000.0
16,,,20.356234096692106,,28.996016375084878,,0.2927478134110784,1999-11-23,10000000.0
17,,,20.129510015006204,,39.13702382523079,,0.31183725531028705,1999-11-24,10000000.0
18,,,9.18803418803419,,33.91983244296735,,0.3295631656452665,1999-11-26,10000000.0
19,,,18.37606837606838,,42.21539435129871,,0.3460229395277474,1999-11-29,10000000.0
20,,,19.87179487179488,,43.459756004770874,,0.3477355867043368,1999-11-30,10000000.0
21,,,25.21367521367523,,40.135532987834075,,0.35432590193974123,1999-12-01,10000000.0
22,,,16.02564102564104,,35.66944301879407,,0.3740169089440455,1999-12-02,10000000.0
23,,,13.143298781596647,,39.30606702633462,37.7936552384226,0.37872998687661363,1999-12-03,10000000.0
24,13.199200000000001,12.9044,19.878713125706632,,40.45089093546289,38.05937880812663,0.38239213067114125,1999-12-06,10000000.0
25,13.193876923076925,12.899076923076922,50.012046459039986,-0.4100290794154322,50.919249455937674,39.345365872907735,0.40864983562320256,1999-12-07,10000000.0
26,13.212809467455624,12.919138461538463,75.54396135265702,-0.3275262493147011,55.101772510751765,40.92100653669214,0.40160341879297373,1999-12-08,10000000.0
27,13.187208739189808,12.897076923076924,82.2700854700855,-0.3038271516652422,47.265919576530216,41.55549784067595,0.4214888888791899,1999-12-09,10000000.0
28,13.177423451559823,12.892123076923076,74.7863247863248,-0.2674380905248963,49.7399920720246,42.37394726381081,0.4270968253878192,1999-12-10,10000000.0
29,13.15454472451676,12.87603076923077,60.25641025641028,-0.2502393891696393,47.34775026613008,42.87132756404274,0.4144470521458321,1999-12-13,10000000.0
30,13.142656668784703,12.87243076923077,62.820512820512825,-0.22434024264720698,49.10513463064201,43.49470827070266,0.4027008341354155,1999-12-14,10000000.0
31,13.11245230964742,12.852492307692309,56.1965811965812,-0.2214353245154168,45.684093590328146,43.71364680266521,0.4003650602686001,1999-12-15,10000000.0
