,ExponentialMovingAverage,WeightedMovingAverage,StochasticSlow,MACDHisto,RSI,SmoothedMovingAverage,ATR,time,value,AO,WilliamR
0,,,,,,,,2012-03-15,1000000.0,,
1,,,,,,,,2012-03-16,1000000.0,,
2,,,,,,,,2012-03-19,1000000.0,,
3,,,,,,,,2012-03-20,1000000.0,,
4,,,,,,,,2012-03-21,1000000.0,,
5,,,,,,,,2012-03-22,1000000.0,,
6,,,,,,,,2012-03-23,1000000.0,,
7,,,,,,,,2012-03-26,1000000.0,,
8,,,,,,,,2012-03-27,1000000.0,,
9,,,,,,,,2012-03-28,1000000.0,,
10,,,,,,,,2012-03-29,1000000.0,,
11,,,,,,,,2012-03-30,1000000.0,,
12,,,,,,,,2012-04-02,1000000.0,,
13,,,,,,,,2012-04-03,1000000.0,,-7.93650793650791
14,,,,,56.41952983725135,,0.8417785714285715,2012-04-04,1000000.0,,-48.260869565217426
15,,,66.7747872095698,,57.333514912161235,,0.8182229591836736,2012-04-05,1000000.0,,-43.47826086956527
16,,,42.173913043478215,,48.55953933650972,,0.8290641763848396,2012-04-09,1000000.0,,-81.73913043478267
17,,,25.529220949092217,,41.95880489736611,,0.8377024495002082,2012-04-10,1000000.0,,-98.19494584837543
18,,,8.818270868576938,,37.68950299480818,,0.8692951316787647,2012-04-11,1000000.0,,-93.6111111111111
19,,,7.268351383874852,,40.30593576771393,,0.8500597651302816,2012-04-12,1000000.0,,-86.38888888888893
20,,,13.42592592592593,,42.697830208079395,,0.8579126390495473,2012-04-13,1000000.0,,-79.7222222222222
21,,,22.03703703703704,,46.81010292125013,,0.8616331648317226,2012-04-16,1000000.0,,-67.77777777777776
22,,,28.703703703703706,,47.2838437435685,,0.8586593673437425,2012-04-17,1000000.0,,-66.38888888888894
23,,,33.51851851851851,,47.68527416707415,46.67438787857827,0.8394694125334752,2012-04-18,1000000.0,,-65.27777777777776
24,23.57,23.21301538461538,26.574074074074066,,40.67963764387413,46.07491285510786,0.8609358830667984,2012-04-19,1000000.0,,-88.6111111111111
25,23.38846153846154,23.031476923076923,15.780879401569074,-0.851643817219415,35.23730316421921,44.991151886019,0.86801189141917,2012-04-20,1000000.0,,-98.76847290640391
26,23.273964497041423,22.909753846153848,12.558949797020949,-0.8466002143949538,42.23985525796729,44.71602222321383,0.892439613460658,2012-04-23,1000000.0,,-74.94356659142213
27,23.092121074192086,22.72003076923077,13.320476629976357,-0.9119751670037637,36.19303316606519,43.863723317498966,0.9544082124991825,2012-04-24,1000000.0,,-86.32653061224487
28,22.918880991561927,22.537046153846152,17.59161553885258,-0.9583860254066359,35.80275989848289,43.05762697559736,0.956664768749241,2012-04-25,1000000.0,,-85.95505617977526
29,22.73281322298024,22.340092307692306,11.508231976831,-1.0109485381108065,33.8911649199963,42.14098077003725,0.921188713838581,2012-04-26,1000000.0,,-93.19371727748687
30,22.629519898135605,22.22313846153846,19.08121053534303,-0.9696120618749156,42.539708407324014,42.18085353376593,0.9611038057072538,2012-04-27,1000000.0,,-63.60759493670879
31,22.496479905971327,22.07489230769231,21.684330807188633,-0.9652645427513598,39.47757116859425,41.91052529724876,0.9495963910138784,2012-04-30,1000000.0,,-78.14569536423842
