Date,AAPL,AMZN,GOOGL,JPM,META,MSFT,NVDA,TSLA
2024-04-01,169.79969787597656,180.97000122070312,155.31175231933594,197.78628540039062,490.8626403808594,423.8055725097656,90.35557556152344,175.22000122070312
2024-04-02,168.61129760742188,180.69000244140625,154.3828125,197.70675659179688,496.8766784667969,420.68121337890625,89.44465637207031,166.6300048828125
2024-04-03,169.42019653320312,182.41000366210938,154.74240112304688,197.15000915527344,506.23736572265625,419.6929931640625,88.9566879272461,168.3800048828125
2024-04-04,168.59133911132812,180.0,150.35743713378906,195.64999389648438,510.4132385253906,417.12762451171875,85.89794158935547,171.11000061035156
2024-04-05,169.3502960205078,185.07000732421875,152.32518005371094,197.4499969482422,526.8169555664062,424.75384521484375,88.00077819824219,164.89999389648438
2024-04-08,168.22183227539062,185.19000244140625,154.6724853515625,198.47999572753906,518.7349853515625,423.8255310058594,87.12584686279297,172.97999572753906
2024-04-09,169.44017028808594,185.6699981689453,156.4204864501953,197.14999389648438,516.3873291015625,425.5124816894531,85.34698486328125,176.8800048828125
2024-04-10,167.552734375,185.9499969482422,155.96099853515625,195.47000122070312,519.3143920898438,422.4979248046875,87.03185272216797,171.75999450683594
2024-04-11,174.8029022216797,189.0500030517578,159.22726440429688,195.42999267578125,522.6410522460938,427.1595153808594,90.60855102539062,174.60000610351562
2024-04-12,176.3108673095703,186.1300048828125,157.54917907714844,182.7899932861328,511.3922424316406,421.140380859375,88.17875671386719,171.0500030517578
2024-04-15,172.45608520507812,183.6199951171875,154.68247985839844,182.88999938964844,499.7338562011719,412.895263671875,85.99393463134766,161.47999572753906
2024-04-16,169.15057373046875,183.32000732421875,154.22299194335938,180.8000030517578,499.2643127441406,413.83355712890625,87.40782165527344,157.11000061035156
2024-04-17,167.77244567871094,181.27999877929688,155.29177856445312,180.0800018310547,493.67987060546875,411.0984802246094,84.0280990600586,155.4499969482422
2024-04-18,166.81373596191406,179.22000122070312,155.83114624023438,181.25,501.3022766113281,403.5421142578125,84.6640396118164,149.92999267578125
2024-04-19,164.77650451660156,174.6300048828125,153.91334533691406,185.8000030517578,480.59283447265625,398.4013977050781,76.19374084472656,147.0500030517578
2024-04-22,165.6153564453125,177.22999572753906,156.10084533691406,189.41000366210938,481.252197265625,400.2380676269531,79.51146697998047,142.0500030517578
2024-04-23,166.67391967773438,179.5399932861328,158.0785675048828,192.13999938964844,495.6079406738281,406.836181640625,82.41622924804688,144.67999267578125
2024-04-24,168.7910614013672,176.58999633789062,158.9475860595703,193.0800018310547,493.010498046875,408.323486328125,79.67045593261719,162.1300048828125
2024-04-25,169.65988159179688,173.6699981689453,155.8211669921875,193.3699951171875,440.94219970703125,398.321533203125,82.62521362304688,170.17999267578125
2024-04-26,169.0706787109375,179.6199951171875,171.7528839111328,193.49000549316406,442.8503112792969,405.58843994140625,87.72779083251953,168.2899932861328
2024-04-29,173.26498413085938,180.9600067138672,165.9595184326172,193.27999877929688,432.1908874511719,401.5257568359375,87.74979400634766,194.0500030517578
2024-04-30,170.0992889404297,175.0,162.59339904785156,191.74000549316406,429.74334716796875,388.6289978027344,86.39490509033203,183.27999877929688
2024-05-01,169.0706787109375,179.0,163.67214965820312,191.86000061035156,438.7543640136719,394.2289123535156,83.0341796875,179.99000549316406
2024-05-02,172.79562377929688,184.72000122070312,166.42898559570312,191.66000366210938,441.2419128417969,397.1236877441406,85.80995178222656,180.00999450683594
2024-05-03,183.13160705566406,186.2100067138672,167.04827880859375,190.50999450683594,451.5116882324219,405.9278259277344,88.78170776367188,181.19000244140625
2024-05-06,181.46388244628906,188.6999969482422,167.9073028564453,192.0,465.21807861328125,412.7954406738281,92.13243103027344,184.75999450683594
2024-05-07,182.15292358398438,188.75999450683594,171.05368041992188,191.75,467.7755432128906,408.6029968261719,90.54656219482422,177.80999755859375
2024-05-08,182.4924774169922,188.0,169.1858367919922,195.64999389648438,472.1312561035156,409.80084228515625,90.40457916259766,174.72000122070312
2024-05-09,184.32000732421875,189.5,169.76516723632812,197.5,474.9484558105469,411.57763671875,88.73971557617188,171.97000122070312
2024-05-10,183.0500030517578,187.47999572753906,168.4566650390625,198.77000427246094,475.7276916503906,413.9932556152344,89.87061309814453,168.47000122070312
2024-05-13,186.27999877929688,186.57000732421875,168.94610595703125,198.72999572753906,467.5458068847656,412.97509765625,90.3915786743164,171.88999938964844
2024-05-14,187.42999267578125,187.07000732421875,170.1447296142578,201.50999450683594,471.3819885253906,415.80999755859375,91.34849548339844,177.5500030517578
2024-05-15,189.72000122070312,185.99000549316406,172.31224060058594,202.11000061035156,481.0623779296875,423.0799865722656,94.62222290039062,173.99000549316406
2024-05-16,189.83999633789062,183.6300048828125,173.98031616210938,202.47000122070312,472.7606201171875,420.989990234375,94.35124969482422,174.83999633789062
2024-05-17,189.8699951171875,184.6999969482422,175.85816955566406,204.7899932861328,471.4419250488281,420.2099914550781,92.47139739990234,177.4600067138672
2024-05-20,191.0399932861328,183.5399932861328,176.71717834472656,195.5800018310547,468.3749694824219,425.3399963378906,94.772216796875,174.9499969482422
2024-05-21,192.35000610351562,183.14999389648438,177.6461181640625,199.52000427246094,464.1691589355469,429.0400085449219,95.37816619873047,186.60000610351562
2024-05-22,190.89999389648438,183.1300048828125,176.1778106689453,198.30999755859375,467.3160095214844,430.5199890136719,94.94219970703125,180.11000061035156
2024-05-23,186.8800048828125,181.0500030517578,173.35104370117188,196.9199981689453,465.3179931640625,427.0,103.79048156738281,173.74000549316406
