,Time,Model signal,Profit/loss,vol_signal
121,2019-08-30,1,0.28790432801822163,0
122,2019-09-05,1,1.009999999999998,0
123,2019-10-01,-1,-1.0946295702373305,0
124,2019-10-02,-1,-2.208981687701062,-1
125,2019-10-21,1,0.6516096676737178,0
126,2019-10-31,-1,-2.4734781297134205,0
127,2019-11-05,1,0.5030385567739657,0
128,2019-11-12,-1,-0.6582203780544091,0
129,2019-11-14,1,1.25,0
130,2019-11-20,-1,-0.5467772890843676,0
131,2020-01-23,-1,0.9600000000000009,-1
132,2020-04-20,1,-12.469493773249226,0
133,2020-06-24,-1,2.5142813918305578,0
134,2020-07-15,1,0.6295202696005546,0
135,2020-08-06,-1,-0.091749889527172,0
136,2020-08-17,-1,-1.1007704918032886,0
137,2020-09-02,1,0.31262013422819024,0
138,2020-10-07,1,2.8800000000000026,1
139,2020-10-27,-1,-2.23291511000415,0
140,2020-11-09,1,1.3310251555315062,1
141,2021-01-15,-1,0.549663454183893,0
142,2021-01-21,1,2.1699999999999946,0
143,2021-01-29,-1,-3.586147631289016,0
144,2021-02-05,1,0.8083393156257443,0
145,2021-02-10,1,-0.7100000000000009,0
146,2021-03-15,1,0.6100000000000065,1
147,2021-03-23,-1,-2.7249023395578575,0
148,2021-03-26,1,0.49428571428570933,0
149,2021-03-30,1,1.1200000000000045,0
150,2021-06-01,-1,1.6799999999999997,0
151,2021-08-03,1,-1.967546432062555,0
152,2021-08-11,1,0.12000000000000455,0
153,2021-09-02,1,0.1699999999999946,0
154,2021-11-15,1,-0.6189657193085338,0
155,2021-11-30,-1,-1.8918891855807658,0
156,2021-12-02,1,0.7700000000000031,0
157,2021-12-09,-1,-1.409005736137665,-1
158,2021-12-30,1,0.3650266268346485,0
159,2022-01-13,1,0.0899999999999963,1
160,2022-01-31,-1,-1.4650997756523836,0
161,2022-02-07,-1,-0.09448113207546527,0
162,2022-02-24,-1,-1.2516568679850337,0
163,2022-03-07,-1,-0.04999999999999716,0
164,2022-03-21,1,0.37000000000000455,0
165,2022-03-23,-1,-0.45000000000000284,0
166,2022-03-31,-1,-0.5800000000000054,0
167,2022-05-03,1,0.3653651411879295,0
168,2022-05-20,-1,-1.0855536950212112,0
169,2022-05-24,-1,-0.27999999999999403,0
170,2022-06-13,-1,-0.1479507785032652,0
171,2022-06-16,-1,-1.0985906374502008,0
172,2022-07-20,1,0.25584725089134963,0
173,2022-08-04,-1,-1.8489894907033246,0
174,2022-08-15,1,0.671957842764904,0
175,2022-08-17,-1,0.21999999999999886,0
176,2022-08-19,-1,-0.19000000000000483,0
177,2022-10-14,1,-1.7757142857142867,0
178,2022-12-16,-1,5.712826645582133,0
179,2023-01-10,1,0.42073634204275123,0
180,2023-01-11,1,0.7010956521739118,0
181,2023-01-19,-1,-1.2310385756676538,0
182,2023-01-23,1,0.740000000000002,0
183,2023-03-15,-1,-0.14999999999999858,-1
184,2023-04-11,1,0.5433597657679599,0
